cgaed gcdbfa gcfaed gfcde gadfceb cdbfeg acg eacf eabgd ca 
gefbd adgf eafdb gd gecfb fedgba bgd acbfde cdfageb adgbec 
cdfabe cfga cg dcefa gce eagbd agced fcdeag gcefbd bdaefcg 
dgcea cfgebda dagb fgcaed bcg bg bcaef cedabg bcaeg cegfdb 
dbcfg cdfeg dbf befagc debfac agbd dgbcfa dbfgace db facgb 
dbefga efcadb cgdab cdbfa gad fdcbgea gbaec dg fcdg acfdgb 
ebag gbafed fbdgac eb bdfag bef dfbge abegdcf fedcg acbdef 
deg bcgfad efdagb fedagcb eg ebcg cdafe decfg dgcfb dfcbge 
egbdc efbgdc aec bagfecd eagcbd gbface ae adbe fadcg gcead 
acedb fdcgea degabf ebcafd eb fceb agdbfec deb cgbad feacd 
gcdbfae eadb feacg ad dbcef dac bcedgf dbacgf cfdea bdafce 
edfba cedf cebad ecdfab decabgf acgbe cgabfd ebgdfa adc dc 
caeg dbefg egdba afgbcd fbdcea cdgafeb ag agb bdecga adecb 
bf bagdcf gbfa dgaecf gdfcb fdgbcae fdb bfcdea gcebd cdfga 
cgbdef begfa agebd bdac da bgeacd ecdgb aed defacg cdbgfea 
aebfdg aegbdcf cdebg ebgcdf ef cbef dgbcae gfe gfcda gfedc 
befad bcdf fce bgcaefd gaefdb dacfe cbefag gaecd caefbd cf 
gecab gfeca eafdbcg bgcdae fdcgeb gbc dceafb gb dabg abedc 
deabf dfg fcedgba bfgc fg cbdeag fedcga fbcadg cbgda afdbg 
bcafgd gefba acg abec decgf gbacef ca gafdbe cafeg bgecafd 
febcgda ebga dgbecf efadbg ceafd eb edb bdgfac fbade fgabd 
dgb dbce faebcg bd gfbdac fecgb gbfcade bdgef bgfdce edgaf 
fdaeg afebgc dcf gcafbed cbfge dc dbcg bcfegd cbdefa edgcf 
cgfb bacgdfe bdfeg fdebcg cb cdb edgfab edfca becdf gebacd 
gbdcaf gfbad gfdabce abfdce debagf gcfad ac gfced fca agbc 
cedbagf edagc bge bcdge gbad gb bgefac aecfgd bdfec cegdba 
dfecga cdagbfe aegcd cdfg fegab bcfaed egafc cbegda fc fac 
gecdf agdfe dga cfda cegbda bafeg ad caefgd dfagceb bfgdec 
deabf gdea bcaedf agdfeb dfg gd dcfabeg ecfbg edbfg bgdfac 
gfabc gafce adeg bgdfce dabgefc eacdfg ea dfcge ebcafd afe 
dcbgeaf dbafec cafde beagdc gd dafg cfbge dge fegcda fgedc 
egcbdf dafe dfbge adbgefc eadbg egabc gcfdba abgedf dba ad 
cegd bcfde gfbcdea efdab dbcfg cef efbcdg ce abcfgd aecfbg 
abdceg acedg efbcg ab bcad gcabe bdfage afdgce agebdcf gba 
dfba fcebad afgebc dbcea fcgdaeb befcd ebf gcdef fb eabgdc 
cfgde geadb fgdbec gfcb fbd bcfade egdbf adcefg bedcagf bf 
edf fgdbce agcfbe efbdga dafge beda de cbgfeda cdagf gafbe 
ebdg fcbedg cdbagf de fbedca fecag daegfcb cbgfd cedfg dec 
fbecgd gefca bcefa fgbeda deabgcf gc adgef cgad gfc gcefad 
cgefab afb abgfde gadfcbe fbgced dcbga fa gebdf gfbda efad 
dcbfg adce cegbd ed egcdbfa befagd bgace bcfaeg bdacge egd 
ebgfac dabcfe fea bdafcg ea defbg aecg fcagb cafebgd abfge 
fdb beadfc decgb fd acdf dafbegc cfbed fcbaeg cabfe agfbde 
cbad dae dcbge feabg da gcbdef gaedb dbcegaf edagbc dgecfa 
fbe dcbefg fe adfbce gebdacf fbadcg baceg bdacf fead fceab 
ab cbgdfae cbdagf dceabg ebad bag gdbce edfbcg cefga ebcag 
cdagbf fcadbe gac acgbd bgcde cgbafe eabgcfd ga adgf cbafd 
edca eagcfbd dbgae dge ed bgcad bdcfga fagbe gbcaed gebdfc 
edb abfgecd edgf fgaeb bdage cadgb fdcbea de fbedga abfceg 
faedgbc cfebad dbecf afeb ab afdcg dba adbfc aedgcb ebfcgd 
aedc dagbcf afbdce gfbed cd efbac acefgb dcefgba cfebd dcf 
agedbc egdcb eb bgea bedfac dbgca cgfde edgabfc cbe dbfcga 
dfbeac gcdefa cf fbcea ebadf efc gdfaeb abgce ebfcdag fdcb 
gacdef dbeaf dgaefb fc dcafgeb ebcdfa gbecd bcdfe cdf abfc 
ecfdba be bgce fcedag abdfg gbfed acgdfbe cefdbg cefgd dbe 
bfgac acbfgd fga dgbca gbaefd efgcb cdefbga dgeacb af fdca 
dbgeac gd decg dabegfc dbeacf eadcb fdbega adgbc gbfac dbg 
daebg ecgfd cbfeadg eabf degcba fgbdca afg gfaedb gfaed af 
edcgab dfcbage bfga becgfa gca efdca gfbdec ga becgf fecga 
bdfeag dcbfeag eg cdge afbec gea ecgaf fgadbc fcgeda fgdac 
gdbeacf dfcgba ebafd ag bgaecf bcfgd afg gdafb bedgfc dacg 
afbedc bfd gdbce bedafg gdfeb bf eacbfgd gefad agdefc bgaf 
cae becgad gdabe ac cagb cgafde ebdac fcbde abcdfge degbaf 
caedb adb ecfgdab gdaec gbdeca ab cgdefa fgdcab dcbef eagb 
dcefa gcd agdfc bgeadc dg fgceabd dfgaec dfeg gbcaf dbfeac 
adbgce cd cdeg adc bcedgaf fbeac bdace ebdga afbged cbdagf 
ad dfbce cdabf fgbca edbcga fead ebdgcaf bgfedc dac bcfade 
bfgdae baegf cbfeagd ebdaf fedca dabg dbe efbcgd db abgfec 
gcfea eafdb eabgcfd egafb gadfeb gb fdgb bdafec ebg egabdc 
gebaf cedgbf acbeg cbagdfe fbe acbf gaefd gcbdae fb gecfba 
cegabfd fc gaefbd cbdea fadec fecg afc gecadf cbgdaf dgefa 
ab gdfea egba afegdc fdbae cfedb bad aefdbcg dgfcab egdbaf 
af fgbeadc ceadg cfeagb fgdbae efa egfad efgdb fdab begdfc 
dfgecb cgabf cdaefbg adbcge dabeg bec ec aecbg febdag aced 
bcadef cbfgd dcagbf dfe febg befcgd degfc degac bfagced fe 
fgd edfc fgedca gafdebc febga agedf eadcg gdebca dacbfg df 
aedcfbg dfceba eb caegdb begca fbacg bea egdb ecagd dgcafe 
cg fcdg deacbgf cdgbaf fbcea abfgd gac badceg facgb dbfage 
bdgae eg defba gcedab bgadc dbfcag egbc ged gafcde cfbagde 
agefc cgdef cgfdea ca fcdabg fecdgba aedc bgfae fac dgcbfe 
ca cagbfd efbdc fac afecd aebc cadbef gfaedbc dbgefc feagd 
cdb ecfab gbcaed cafdg gbfd db adbcf cdagef afgcdb cfdebga 
begfcd ag cgaebf gfbcdea bdgeaf gead bgadf agf fdgeb acdbf 
ad gbced dab bcfage adbge afegb fcagdeb fbdaeg dagf acbdfe 
begfdc fgdcb fgadbe caebg cagfdb efg edcf ebcgf ef efbdgca 
ecfdg gfbed gdac acgbfe cdafe bafdgce gec dfecga cg afcdbe 
deabg gea egdfcab bgcda gbfe fdbgae efcdag fadbe eg efadcb 
ef gecadb adbeg defbg fcbgd fgae feb efgabd bedfca facbdeg 
cefga cfd fcebdg ceagbd bfdg bfdeac gcbde gfdce agcdfbe fd 
dfce cgbfa gbadef df bfd gaecdb ebdgcf cgbde gdcfb acgbdef 
dca da bdfgc cadbef ebfacdg eadb bfeac fdcgae bfcad fgecab 
gcedaf gfdecb gb caefg cebga fgacbe fabg dcabe agbfced bcg 
dbgac cdf fagde fedbacg fgdabc acdbge dfgca ecafdb gcbf fc 
ed fedag dge gceaf dfabg dcfe afdegcb aebfgc dgbaec dagecf 
dca fcbdg fgecab ad adbcg debfgca ecbdag gceba facged edab 
edaf gfeab ebfgda dfbga dacgb gfbceda bgeacf df gfd bcdgfe 
bcfagde dgabfc beafc geca fgcaeb fdbec ac fca gabfe gfdaeb 
aecbg cfeagd cadfbe dgceb cgfae edacfgb fecbag ba abc gfba 
bdc aebgc db cdgef dagb geabcf ebgacd gdebc aedcbf gadfbce 
egbacfd dabgfc beagfd ef dbef dgbaf fge gcfade cgbea eafbg 
faebd cbdaf edfgab fdcbeg dfgbe ae dagfce bedgafc ead beag 
gfabd fagcde cdbefa gaebdf ecfdbga gaefd fab aebg cgbfd ab 
bfa cfga acbfe edcfbga fa fagebd bdcfe aecfgb ebdacg geacb 
dgbae dcfegb bgdfc fagbcd gca dafc ca dabgfce cgbda agbecf 
fcag egdca gc agedb cgd adefc bcfged cbefad egcfad efcagdb 
ea fdeacb eab bgdefc adgcefb bfdga face cbdfe bedaf dcgaeb 
acbe ecd feacdb ec egafd eadcf cbdaf fgcdba cfbagde efcbgd 
cdageb badf gbfcad fcgab fgadebc gecfd bd eacfbg dbg bgfcd 
adgcbef bef cgedba fbecag efbca baegc bf gcdbfe bfga acefd 
bcfade agcde acd edcbg feagcd gdaf dbeacgf ad eafcgb fcega 
df abfce degbc cfd acgfed gbdf bacfegd efdcb badceg egfcbd 
bfdc eabdf ebcad fgead bcdeag fba bf bcedgfa cdebfa bcegaf 
dbaefcg ec aec dfgbea cafeg aedcbg gacedf egadf gfcba cfde 
ecgfdab gcefb bcfa af cgfdbe aegbf ebadg eacgfd gbecaf afg 
